Type,From,To,Crypto,USD,Txn,ID
Bid,CryptoPu…,,0.4,60,2019-01-03,6415
Offered,,,0.49,58,2018-12-22,6415
Transfer,0x00bd3a,jmg,NA,NA,2018-12-22,6415
Offer Withdrawn,,,NA,NA,2017-07-31,6415
Offered,,,1.6900000000000002,321,2017-07-17,6415
Offered,,,0.7899999999999999,151,2017-07-11,6415
Offered,,,0.89,246,2017-07-03,6415
Sold,0xf138eb,0x00bd3a,0.3,85,2017-07-02,6415
Bid,0x7760e0,,0.04,11,2017-06-30,6415
Offered,,,0.3,84,2017-06-30,6415
Claimed,,0xf138eb,NA,NA,2017-06-23,6415
Bid,13092537,NA,0.01,0.01,2020-12-17,6416
Claimed,NA,7512011,NA,NA,2017-06-23,6416
Sold,55241,15809095,0.1,83,2018-02-04,6417
Offered,NA,NA,0.1,126,2018-01-12,6417
Offered,NA,NA,0.12000000000000001,89,2017-12-29,6417
Claimed,NA,55241,NA,NA,2017-06-23,6417
Claimed,NA,12878075,NA,NA,2017-06-23,6418
Bid Withdrawn,Party,,2.5,1525,2020-12-25,6419
Bid,Party,,2.5,1525,2020-12-25,6419
Transfer,snowfro,0x1d45f1,NA,NA,2020-09-06,6419
Transfer,CPyrc,snowfro,NA,NA,2020-09-06,6419
Offered,,,5,1911,2020-08-27,6419
Offered,,,6.49,1575,2020-06-23,6419
Offered,,,7.98,1765,2020-05-29,6419
Offered,,,8.88,1761,2020-05-26,6419
Sold,Carlini8,CPyrc,4,803,2020-05-26,6419
Bid,CPyrc,,4,810,2020-05-26,6419
Bid,TokenAng…,,3.75,763,2020-05-26,6419
Offered,,,5,1017,2020-05-26,6419
Bid,Pixls,,3.5,714,2020-05-26,6419
Bid Withdrawn,Pixls,,3,612,2020-05-26,6419
Offered,,,4,819,2020-05-25,6419
Bid,Pixls,,3,613,2020-05-25,6419
Offered,,,5,970,2020-04-26,6419
Offer Withdrawn,,,NA,NA,2020-04-26,6419
Offered,,,10,2153,2020-02-06,6419
Sold,0xe45df5,Carlini8,1.99,253,2020-01-03,6419
Bid,0x717403,,0.05,13,2017-06-26,6419
Offered,,,1.99,556,2017-06-25,6419
Claimed,,0xe45df5,NA,NA,2017-06-23,6419
Offered,,,32,12095,2020-09-14,6420
Sold,Ambrose,GtC,1.5,191,2019-12-21,6420
Bid,GtC,,1.5,191,2019-12-21,6420
Offer Withdrawn,,,NA,NA,2019-12-11,6420
Offered,,,1.5,222,2019-12-03,6420
Offered,,,1.6500000000000001,250,2019-12-01,6420
Offer Withdrawn,,,NA,NA,2019-11-16,6420
Offered,,,2.5,459,2019-11-02,6420
Offered,,,5,917,2019-11-01,6420
Sold,0xe45df5,Ambrose,1.3,214,2019-04-13,6420
Bid Withdrawn,Ambrose,,0.62,102,2019-04-13,6420
Bid,Ambrose,,0.62,102,2019-04-13,6420
Bid,Mr_0x,,0.4,55,2019-02-28,6420
Bid Withdrawn,Mr_0x,,0.2,27,2019-02-28,6420
Bid,Mr_0x,,0.2,29,2019-02-21,6420
Bid,0x717403,,0.05,13,2017-06-26,6420
Offered,,,1.3,396,2017-06-24,6420
Claimed,,0xe45df5,NA,NA,2017-06-23,6420
Sold,CPyrc,0x13816f,4.72,1696,2020-09-28,6421
Sold,0x067034,CPyrc,4.25,1521,2020-09-28,6421
Sold,Pranksy,0x067034,1.78,665,2020-09-20,6421
(Wrap),0x776758,WrappedC…,NA,NA,2020-09-14,6421
Transfer,Pranksy,0x776758,NA,NA,2020-09-14,6421
Offer Withdrawn,,,NA,NA,2020-09-14,6421
Offered,,,1.99,735,2020-09-12,6421
Transfer,alxo,Pranksy,NA,NA,2020-09-11,6421
Offered,,,10,1362,2020-01-05,6421
Sold,juggerna…,alxo,0.25,38,2019-11-23,6421
Offered,,,0.25,38,2019-11-23,6421
Offered,,,0.33999999999999997,59,2019-11-20,6421
Offered,,,0.35,65,2019-10-27,6421
Transfer,0x00d7c9,juggerna…,NA,NA,2019-10-04,6421
Offered,,,0.5,153,2019-07-07,6421
Claimed,,0x00d7c9,NA,NA,2017-06-23,6421
Bid Withdrawn,7435267,NA,0.05,15,2017-06-29,6422
Bid,7435267,NA,0.05,14,2017-06-25,6422
Claimed,NA,15838612,NA,NA,2017-06-23,6422
Transfer,0x25dd15,0xcd1ab2,NA,NA,2020-10-05,6423
Bid Withdrawn,0xf9728b,,1.5,524,2020-10-03,6423
Sold,0xc69ae4,0x25dd15,3.8,1365,2020-09-28,6423
Bid,0xf9728b,,1.5,530,2020-09-26,6423
Offered,,,3.8,1403,2020-09-20,6423
Sold,satman,0xc69ae4,1.2,246,2020-05-25,6423
Offered,,,1.2,249,2020-05-17,6423
Offered,,,1.2,249,2020-05-17,6423
Sold,Pranksy,satman,0.55,107,2020-03-09,6423
Bid,satman,,0.55,109,2020-03-09,6423
Offered,,,0.75,166,2020-03-04,6423
Offered,,,1,209,2019-08-13,6423
Sold,0x00d7c9,Pranksy,0.25,52,2019-08-13,6423
Offered,,,0.25,52,2019-08-13,6423
Offered,,,0.5,138,2019-07-12,6423
Offered,,,0.75,230,2019-07-07,6423
Claimed,,0x00d7c9,NA,NA,2017-06-23,6423
Offered,,,6,2255,2020-10-11,6424
Transfer,Wilcox,0x19ac60,NA,NA,2020-10-11,6424
Transfer,0x00d7c9,Wilcox,NA,NA,2019-09-28,6424
Offered,,,0.5,138,2019-07-12,6424
Claimed,,0x00d7c9,NA,NA,2017-06-23,6424
Offer Withdrawn,,,NA,NA,2020-10-18,6425
Offered,,,8.39,3168,2020-10-15,6425
Offered,,,8.99,3164,2020-10-08,6425
Offered,,,9.99,3632,2020-09-28,6425
Offered,,,7.99,2944,2020-09-15,6425
Offer Withdrawn,,,NA,NA,2020-09-15,6425
Offered,,,2.9899999999999998,1058,2020-09-06,6425
Offer Withdrawn,,,NA,NA,2020-05-18,6425
Offered,,,1.99,419,2020-05-01,6425
Offered,,,1.35,312,2020-03-02,6425
Offered,,,1.59,451,2020-02-14,6425
Offered,,,1.85,491,2020-02-12,6425
Offered,,,2.4499999999999997,463,2020-02-04,6425
Offer Withdrawn,,,NA,NA,2020-01-18,6425
Offered,,,1.6900000000000002,243,2020-01-06,6425
Offered,,,1.75,231,2020-01-01,6425
Offered,,,0.99,124,2019-12-27,6425
Offered,,,0.8500000000000001,154,2019-10-08,6425
Bid Withdrawn,Tschuuul…,,0.25,45,2019-10-02,6425
Bid,Tschuuul…,,0.25,44,2019-09-27,6425
Offered,,,1.25,387,2019-06-22,6425
Offered,,,1.45,382,2019-06-14,6425
Offered,,,0.9500000000000001,232,2019-06-08,6425
Offered,,,1.25,217,2019-04-20,6425
Offered,,,1.5,264,2019-04-09,6425
Sold,0x00d7c9,jmg,0.5,88,2019-04-07,6425
Bid,jmg,,0.5,88,2019-04-07,6425
Claimed,,0x00d7c9,NA,NA,2017-06-23,6425
Sold,48543,7823584,0.35,94,2017-07-04,6426
Bid,7823584,NA,0.04,12,2017-06-28,6426
Bid Withdrawn,7435267,NA,0.05,16,2017-06-28,6426
Bid,7435267,NA,0.05,13,2017-06-26,6426
Offered,NA,NA,0.35,107,2017-06-24,6426
Claimed,NA,48543,NA,NA,2017-06-23,6426
Claimed,NA,13358210,NA,NA,2017-06-23,6427
Transfer,55241,Wilcox,NA,NA,2019-06-06,6428
Bid,7823584,,0.05,16,2017-06-28,6428
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6428
Transfer,55241,Wilcox,NA,NA,2019-09-18,6429
Offered,NA,,0.5,157,2019-07-08,6429
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6429
Bid Withdrawn,7823584,NA,0.05,14,2017-06-30,6430
Bid,7823584,NA,0.05,16,2017-06-28,6430
Claimed,NA,11998896,NA,NA,2017-06-23,6430
Transfer,48543,13275108,NA,NA,2018-03-08,6431
Claimed,NA,48543,NA,NA,2017-06-23,6431
Claimed,NA,13358210,NA,NA,2017-06-23,6432
Sold,55241,Kenney,0.1,105,2018-01-16,6433
Offered,NA,,0.1,126,2018-01-12,6433
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6433
Claimed,NA,3699717,NA,NA,2017-06-23,6434
Sold,0x00d7c9,PB,0.45,78,2019-04-20,6435
Bid,PB,,0.45,78,2019-04-20,6435
Offered,,,0.5,82,2019-04-13,6435
Bid Withdrawn,0x717403,,0.05,16,2017-06-28,6435
Bid,0x717403,,0.05,13,2017-06-26,6435
Claimed,,0x00d7c9,NA,NA,2017-06-23,6435
Transfer,48543,13275108,NA,NA,2018-03-08,6436
Claimed,NA,48543,NA,NA,2017-06-23,6436
Bid,7823584,NA,0.21000000000000002,57,2017-07-04,6437
Bid,5966219,NA,0.21000000000000002,57,2017-07-04,6437
Claimed,NA,13401139,NA,NA,2017-06-23,6437
Transfer,55241,Wilcox,NA,NA,2019-09-14,6438
Offered,NA,,0.5,153,2019-07-07,6438
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6438
Offer Withdrawn,,,NA,NA,2020-05-17,6439
Offered,,,1,232,2020-02-27,6439
Sold,PabloFM,0x3f1724,0.58,157,2020-02-23,6439
Offered,,,0.58,159,2020-02-23,6439
Offer Withdrawn,,,NA,NA,2019-12-10,6439
Offered,,,0.38,55,2019-12-10,6439
Sold,0xccc230,PabloFM,0.2,38,2018-10-11,6439
Offered,,,0.2,62,2017-10-06,6439
Claimed,,0xccc230,NA,NA,2017-06-23,6439
Bid,7435267,NA,0.19,51,2017-07-06,6440
Bid,6689278,NA,0.19,51,2017-07-06,6440
Claimed,NA,13401139,NA,NA,2017-06-23,6440
Bid,7823584,NA,0.35,84,2017-07-07,6441
Bid,6689278,NA,0.35,84,2017-07-07,6441
Claimed,NA,7293485,NA,NA,2017-06-23,6441
Sold,55241,Kenney,0.1,58,2018-05-25,6442
Offered,NA,,0.1,58,2018-05-25,6442
Offered,NA,,3,3151,2018-01-16,6442
Offered,NA,,0.4,544,2018-01-14,6442
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6442
Claimed,NA,7293485,NA,NA,2017-06-23,6443
Sold,Pranksy,BlackKet…,0.5,64,2020-01-01,6444
Offered,,,0.5,87,2019-09-05,6444
Sold,0x00d7c9,Pranksy,0.25,45,2019-09-02,6444
Offered,,Pranksy,0.25,45,2019-09-02,6444
Offered,,,4,1074,2019-06-16,6444
Offered,,,0.7,119,2019-04-23,6444
Claimed,,0x00d7c9,NA,NA,2017-06-23,6444
Sold,treetop,Catdog,0.59,117,2020-05-14,6445
Offered,,,0.59,115,2020-04-26,6445
Offered,,,0.99,169,2020-04-21,6445
Sold,TokyoBas…,treetop,0.5,77,2020-04-13,6445
Offered,,,0.5,78,2020-04-13,6445
Offer Withdrawn,,,NA,NA,2020-04-13,6445
Offered,,,1,191,2019-11-06,6445
Offer Withdrawn,,,NA,NA,2019-06-14,6445
Offered,,,0.7799999999999999,1056,2018-01-14,6445
Claimed,,TokyoBas…,NA,NA,2017-06-23,6445
Sold,5966219,45688,0.33999999999999997,91,2017-07-04,6446
Offered,NA,NA,0.33999999999999997,94,2017-07-03,6446
Bid,7823584,NA,0.05,16,2017-06-28,6446
Claimed,NA,5966219,NA,NA,2017-06-23,6446
Transfer,6518066,5335180,NA,NA,2019-06-01,6447
Transfer,5772875,6518066,NA,NA,2019-05-10,6447
Claimed,NA,5772875,NA,NA,2017-06-23,6447
Transfer,55241,Wilcox,NA,NA,2019-09-18,6448
Offered,NA,,0.5,153,2019-07-07,6448
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6448
Claimed,NA,13358210,NA,NA,2017-06-23,6449
Transfer,8278656,393680,NA,NA,2019-06-05,6450
Transfer,13794879,8278656,NA,NA,2017-10-04,6450
Offered,NA,NA,2,311,2017-07-16,6450
Transfer,16745492,13794879,NA,NA,2017-07-16,6450
Claimed,NA,16745492,NA,NA,2017-06-23,6450
Sold,jmg,0x7f3560,2.25,370,2020-01-19,6451
Bid,0x7f3560,,2.25,396,2020-01-19,6451
Offer Withdrawn,,,NA,NA,2020-01-19,6451
Bid,Pranksy,,1.5,266,2020-01-19,6451
Offered,,,2.25,399,2020-01-19,6451
Offer Withdrawn,,,NA,NA,2020-01-18,6451
Offered,,,2.25,318,2020-01-06,6451
Offered,,,1.95,329,2019-04-14,6451
Transfer,0x00bd3a,jmg,NA,NA,2018-12-22,6451
Sold,0xcbd482,0x00bd3a,0.3,81,2017-07-04,6451
Bid,0x00bd3a,,0.3,81,2017-07-04,6451
Bid Withdrawn,0x0f1638,,0.2,55,2017-07-03,6451
Bid,0x0f1638,,0.2,55,2017-07-03,6451
Bid Withdrawn,0x00bd3a,,0.25,69,2017-07-03,6451
Bid,0x00bd3a,,0.25,71,2017-07-02,6451
Bid Withdrawn,0x717403,,0.05,15,2017-06-29,6451
Bid,0x717403,,0.05,14,2017-06-25,6451
Claimed,,0xcbd482,NA,NA,2017-06-23,6451
(Wrap),0xac12a8,WrappedC…,NA,NA,2020-12-29,6452
Transfer,gaus,0xac12a8,NA,NA,2020-12-29,6452
(Unwrap),WrappedC…,gaus,NA,NA,2020-09-28,6452
Sold,0xe754d1,gaus,2.75,949,2020-09-25,6452
Sold,Pranksy,0xe754d1,1.9,716,2020-09-14,6452
(Wrap),0x776758,WrappedC…,NA,NA,2020-09-14,6452
Transfer,Pranksy,0x776758,NA,NA,2020-09-14,6452
Offer Withdrawn,,,NA,NA,2020-09-14,6452
Offer Withdrawn,,,NA,NA,2020-09-14,6452
Offered,,,1.99,735,2020-09-12,6452
Transfer,alxo,Pranksy,NA,NA,2020-09-11,6452
Offered,,,10,1362,2020-01-05,6452
Sold,juggerna…,alxo,0.25,38,2019-11-23,6452
Offered,,,0.25,38,2019-11-23,6452
Offered,,,0.35,64,2019-11-03,6452
Offered,,,0.5,88,2019-10-20,6452
Transfer,0x00d7c9,juggerna…,NA,NA,2019-10-04,6452
Bid Withdrawn,0xa9c206,,0.39,68,2019-09-27,6452
Bid,0xa9c206,,0.39,68,2019-09-27,6452
Offered,,,0.75,230,2019-07-07,6452
Claimed,,0x00d7c9,NA,NA,2017-06-23,6452
Offer Withdrawn,NA,NA,NA,NA,2020-12-27,6453
Bid Withdrawn,8972121,NA,3,1222,2020-10-28,6453
Bid,8972121,NA,3,1242,2020-10-24,6453
Offered,NA,NA,7.5,2799,2020-10-12,6453
Sold,9098894,1665597,2,775,2020-09-13,6453
Offered,NA,NA,2,451,2017-07-24,6453
Sold,6827056,9098894,0.49,110,2017-07-24,6453
Offered,NA,NA,0.49,97,2017-07-14,6453
Claimed,NA,6827056,NA,NA,2017-06-23,6453
Sold,6827056,45688,0.39,94,2017-07-07,6454
Offered,NA,NA,0.39,94,2017-07-07,6454
Claimed,NA,6827056,NA,NA,2017-06-23,6454
Transfer,55241,Wilcox,NA,NA,2019-09-04,6455
Offered,NA,,1,306,2019-07-07,6455
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6455
Transfer,55241,Wilcox,NA,NA,2019-09-09,6456
Offered,NA,,1,1279,2018-01-15,6456
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6456
Sold,0xf9728b,0xaae8c5,4,2576,2020-12-26,6457
Sold,0xe754d1,0xf9728b,2.9,1029,2020-09-26,6457
Sold,Pranksy,0xe754d1,1.9,716,2020-09-14,6457
(Wrap),0x776758,WrappedC…,NA,NA,2020-09-14,6457
Transfer,Pranksy,0x776758,NA,NA,2020-09-14,6457
Offer Withdrawn,,,NA,NA,2020-09-14,6457
Offer Withdrawn,,,NA,NA,2020-09-14,6457
Offered,,,1.99,735,2020-09-12,6457
Transfer,alxo,Pranksy,NA,NA,2020-09-11,6457
Offered,,,10,1362,2020-01-05,6457
Sold,juggerna…,alxo,0.25,38,2019-11-23,6457
Offered,,,0.25,38,2019-11-23,6457
Offered,,,0.35,66,2019-11-10,6457
Offered,,,0.3,55,2019-11-03,6457
Offered,,,0.35,64,2019-10-30,6457
Offered,,,0.25,45,2019-10-26,6457
Transfer,0x00d7c9,juggerna…,NA,NA,2019-10-04,6457
Bid Withdrawn,0x7f3560,,0.11,21,2019-08-14,6457
Offered,,,0.5,104,2019-08-13,6457
Bid,0x7f3560,,0.11,23,2019-08-13,6457
Offered,,,0.25,54,2019-08-11,6457
Offered,,,0.5,138,2019-07-12,6457
Offered,,,1,248,2018-09-21,6457
Offered,,,0.2,58,2018-08-27,6457
Claimed,,0x00d7c9,NA,NA,2017-06-23,6457
Transfer,DANNY,0x1da533,NA,NA,2020-11-17,6458
Bid Withdrawn,snowfro,,7.5,3494,2020-11-17,6458
Sold,curating…,DANNY,9,4193,2020-11-17,6458
Bid,snowfro,,7.5,3494,2020-11-17,6458
Offered,,,9,4193,2020-11-17,6458
Claimed,,curating…,NA,NA,2017-06-23,6458
Transfer,0x585f98,3402414,NA,NA,2020-10-08,6459
Bid Withdrawn,0x257e2b,NA,6,2047,2020-10-08,6459
Offer Withdrawn,,NA,NA,NA,2020-10-07,6459
Bid,0x257e2b,NA,6,2041,2020-10-07,6459
Bid,NFTinTin,NA,5,1701,2020-10-07,6459
Offered,,3402414,4,1361,2020-10-07,6459
Bid,Existenc…,NA,1,354,2020-09-29,6459
Bid,SillyZir,NA,0.06,7,2018-11-24,6459
Bid,0x717403,NA,0.05,14,2017-06-25,6459
Claimed,,5791640,NA,NA,2017-06-23,6459
Transfer,55241,Wilcox,NA,NA,2019-09-12,6460
Offered,NA,,1,313,2019-07-08,6460
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6460
Sold,55241,16033653,0.1,47,2017-12-04,6461
Offered,NA,NA,0.1,29,2017-10-28,6461
Claimed,NA,55241,NA,NA,2017-06-23,6461
Transfer,j1mmy,j1mmy_va…,NA,NA,2020-10-15,6462
Offer Withdrawn,,,NA,NA,2020-10-06,6462
Offered,,,7.7700000000000005,2754,2020-10-05,6462
Offer Withdrawn,,,NA,NA,2020-09-28,6462
Offered,,,8,2881,2020-09-27,6462
Sold,_K_A_M_I…,j1mmy,1.85,375,2020-05-27,6462
Offered,,,1.85,373,2020-05-27,6462
Offer Withdrawn,,,NA,NA,2020-05-27,6462
Offered,,,2.5,508,2020-05-26,6462
Bid Withdrawn,Pranksy,,1.2,244,2020-05-26,6462
Sold,natealex,_K_A_M_I…,1.59,324,2020-05-26,6462
Bid,Pranksy,,1.2,245,2020-05-26,6462
Offered,,,1.59,328,2020-05-24,6462
Bid Withdrawn,CPyrc,,1,204,2020-05-24,6462
Sold,juggerna…,natealex,1.35,276,2020-05-24,6462
Bid,CPyrc,,1,204,2020-05-24,6462
Offered,,,1.35,276,2020-05-24,6462
Offered,,,1.42,292,2020-05-24,6462
Offered,,,1.5,312,2020-05-24,6462
Offered,,,1.95,406,2020-05-23,6462
Transfer,Wilcox,juggerna…,NA,NA,2020-05-23,6462
Transfer,0x00d7c9,Wilcox,NA,NA,2019-09-14,6462
Offered,,,1,217,2019-07-24,6462
Offered,,,0.5,134,2019-07-13,6462
Bid Withdrawn,jmg,,0.25,66,2019-05-16,6462
Bid,jmg,,0.25,43,2019-05-08,6462
Claimed,,0x00d7c9,NA,NA,2017-06-23,6462
Claimed,NA,14798088,NA,NA,2017-06-23,6463
Bid Withdrawn,GtC,,0.25,47,2019-09-15,6464
Bid,GtC,,0.25,45,2019-09-03,6464
Claimed,,ddaavvee,NA,NA,2017-06-23,6464
Claimed,NA,12878075,NA,NA,2017-06-23,6465
Bid Withdrawn,0x34e801,NA,5,2261,2020-11-09,6466
Bid,0x34e801,NA,5,2272,2020-11-08,6466
Bid,0xaa2229,NA,4.5,1998,2020-11-08,6466
Bid,0x34e801,NA,4,1756,2020-11-08,6466
Bid,0xaa2229,NA,3,1312,2020-11-08,6466
Bid,0x34e801,NA,2.6,1137,2020-11-08,6466
Bid,0xaa2229,NA,2.5,1093,2020-11-08,6466
Bid,0x34e801,NA,2,872,2020-11-06,6466
Bid Withdrawn,Novo311,NA,2.5,935,2020-09-12,6466
Bid,Novo311,NA,2.5,1093,2020-08-31,6466
Bid Withdrawn,GoWest23,NA,1.2,287,2020-07-07,6466
Bid,GoWest23,NA,1.2,282,2020-05-31,6466
Bid Withdrawn,0xa0a59c,NA,0.2,67,2017-10-16,6466
Bid,0xa0a59c,NA,0.2,59,2017-10-02,6466
Bid Withdrawn,0xa0a59c,NA,0.3,88,2017-09-25,6466
Bid,0xa0a59c,NA,0.3,83,2017-07-03,6466
Bid Withdrawn,Hemba,NA,0.32,88,2017-07-03,6466
Bid,Hemba,NA,0.32,91,2017-07-02,6466
Bid,0xa0a59c,NA,0.2,63,2017-06-28,6466
Claimed,,7895954,NA,NA,2017-06-23,6466
Transfer,55241,Wilcox,NA,NA,2019-09-12,6467
Offered,NA,,1,275,2019-07-12,6467
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6467
Sold,0xbfa319,TheNat,6.74,2372,2020-09-27,6468
Offered,,,6.74,1588,2020-06-01,6468
Offer Withdrawn,,,NA,NA,2020-06-01,6468
Offered,,,4.67,1265,2020-02-16,6468
Offer Withdrawn,,,NA,NA,2020-02-16,6468
Offered,,,3.92,722,2019-11-17,6468
Sold,juggerna…,0xbfa319,0.44,81,2019-11-17,6468
Offered,,,0.44,82,2019-11-07,6468
Offered,,,0.45,82,2019-11-03,6468
Offered,,,0.6,110,2019-11-02,6468
Offered,,,0.7,126,2019-10-26,6468
Offered,,,0.8,144,2019-10-12,6468
Offered,,,0.9,159,2019-10-05,6468
Offered,,,1,176,2019-10-04,6468
Transfer,0x00d7c9,juggerna…,NA,NA,2019-10-04,6468
Offered,,,1,306,2019-07-07,6468
Offered,,,4,1074,2019-06-16,6468
Offered,,,0.5,84,2019-05-07,6468
Bid Withdrawn,jmg,,0.1,29,2018-08-18,6468
Bid,jmg,,0.1,32,2018-08-12,6468
Claimed,,0x00d7c9,NA,NA,2017-06-23,6468
Bid,12559129,NA,0.51,200,2020-10-22,6469
Offered,NA,NA,7,2768,2020-10-21,6469
Offer Withdrawn,NA,NA,NA,NA,2020-09-30,6469
Offered,NA,NA,19,6523,2020-09-22,6469
Offered,NA,NA,39,14341,2020-09-20,6469
Offered,NA,NA,49,12187,2020-07-08,6469
Claimed,NA,11004839,NA,NA,2017-06-23,6469
Sold,Goop,Kataster…,0.37,56,2019-12-08,6470
Offered,,,0.37,56,2019-12-08,6470
Sold,0x581b59,Goop,0.36,52,2019-12-04,6470
Offered,,,0.36,52,2019-12-04,6470
Offer Withdrawn,,,NA,NA,2019-12-04,6470
Offered,,,0.44,67,2019-11-28,6470
Offered,,,1,218,2019-08-01,6470
Offered,,,0.38,83,2019-07-31,6470
Offered,,,0.4,87,2019-07-24,6470
Offered,,,1.35,427,2019-06-25,6470
Transfer,0x61e7e7,0x581b59,NA,NA,2019-06-24,6470
Bid Withdrawn,TokenAng…,,0.15000000000000002,40,2019-06-14,6470
Offered,,,1.35,355,2019-06-12,6470
Offer Withdrawn,,,NA,NA,2019-06-12,6470
Offered,,,1.75,460,2019-06-12,6470
Sold,0x00d7c9,0x61e7e7,0.5,123,2019-06-11,6470
Bid,TokenAng…,,0.15000000000000002,37,2019-06-10,6470
Offered,,,0.5,82,2019-04-13,6470
Claimed,,0x00d7c9,NA,NA,2017-06-23,6470
Claimed,NA,6689278,NA,NA,2017-06-23,6471
Bid,7435267,NA,0.05,14,2017-06-25,6472
Claimed,NA,12221644,NA,NA,2017-06-23,6472
Claimed,NA,12734295,NA,NA,2017-06-23,6473
Bid,7435267,NA,0.05,13,2017-06-26,6474
Offered,NA,NA,100,27936,2017-06-25,6474
Claimed,NA,15838612,NA,NA,2017-06-23,6474
Transfer,55241,Wilcox,NA,NA,2019-09-12,6475
Offered,NA,,1,1037,2018-01-19,6475
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6475
Claimed,NA,2126677,NA,NA,2017-06-23,6476
Bid Withdrawn,7435267,NA,0.05,14,2017-06-30,6477
Bid,7435267,NA,0.05,14,2017-06-25,6477
Claimed,NA,13358210,NA,NA,2017-06-23,6477
Transfer,55241,Wilcox,NA,NA,2019-09-14,6478
Offered,NA,,1,269,2019-07-13,6478
Offered,NA,,0.5,134,2019-07-13,6478
Offered,NA,,1,1037,2018-01-19,6478
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6478
Transfer,55241,Wilcox,NA,NA,2019-09-12,6479
Offered,NA,,1,269,2019-07-13,6479
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6479
Sold,0x6b3db0,0x98c488,1,205,2020-05-24,6480
Offered,,,1,185,2019-11-09,6480
Sold,0x5a2598,0x6b3db0,0.5,93,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.5,93,2019-11-09,6480
Bid,0x6b3db0,,0.5,93,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.19,35,2019-11-09,6480
Bid,0x6b3db0,,0.19,35,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.5,93,2019-11-09,6480
Bid,0x6b3db0,,0.5,93,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.22,42,2019-11-09,6480
Bid,0x6b3db0,,0.22,42,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.25,46,2019-11-09,6480
Bid,0x6b3db0,,0.25,46,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.28,51,2019-11-09,6480
Bid,0x6b3db0,,0.28,51,2019-11-09,6480
Bid Withdrawn,0x6b3db0,,0.29000000000000004,54,2019-11-09,6480
Bid,0x6b3db0,,0.29000000000000004,54,2019-11-09,6480
Offered,,,0.5,92,2019-11-02,6480
Sold,juggerna…,0x5a2598,0.3,55,2019-11-02,6480
Offered,,,0.3,54,2019-10-26,6480
Transfer,0x00d7c9,juggerna…,NA,NA,2019-10-04,6480
Offered,,,0.5,104,2019-08-13,6480
Offered,,,0.25,54,2019-08-11,6480
Offered,,,0.5,138,2019-07-12,6480
Offered,,,1,1037,2018-01-19,6480
Claimed,,0x00d7c9,NA,NA,2017-06-23,6480
Claimed,NA,13358210,NA,NA,2017-06-23,6481
Transfer,55241,Wilcox,NA,NA,2019-09-14,6482
Offered,NA,,0.75,230,2019-07-07,6482
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6482
Transfer,Berndtlz,Tschuuul…,NA,NA,2019-07-10,6483
Sold,0x870a9d,Berndtlz,0.6,173,2019-07-10,6483
Bid Withdrawn,Pranksy,,0.4,109,2019-06-20,6483
Bid,Pranksy,,0.4,109,2019-06-20,6483
Bid Withdrawn,Pixls,,0.5,87,2019-04-19,6483
Bid,Pixls,,0.5,82,2019-04-13,6483
Offered,,,0.6,452,2017-12-26,6483
Sold,0xa7eba7,0x870a9d,0.44,118,2017-07-04,6483
Offered,,,0.44,129,2017-06-29,6483
Claimed,,0xa7eba7,NA,NA,2017-06-23,6483
Transfer,55241,Wilcox,NA,NA,2019-09-09,6484
Offered,NA,,1,275,2019-07-12,6484
Claimed,NA,0x00d7c9,NA,NA,2017-06-23,6484
Sold,0x0553de,tencent,3.5,1875,2020-11-21,6485
Offered,,,3.9499999999999997,2042,2020-11-21,6485
Bid,tencent,,3.5,1808,2020-11-21,6485
Offered,,,4.35,1988,2020-11-07,6485
Offered,,,4.970000000000001,2073,2020-10-22,6485
Sold,NeonNFT,0x0553de,4.25,1750,2020-10-22,6485
Offered,,,4.25,1759,2020-10-22,6485
(Unwrap),WrappedC…,NeonNFT,NA,NA,2020-10-22,6485
(Wrap),0xf86e70,WrappedC…,NA,NA,2020-10-21,6485
Transfer,0xcbdde8,0xf86e70,NA,NA,2020-10-21,6485
Transfer,KittyGr_…,0xcbdde8,NA,NA,2020-10-10,6485
Offered,,,5.5,2004,2020-10-09,6485
Bid Withdrawn,Carlini8,,4,1364,2020-10-08,6485
Bid,Carlini8,,4,1365,2020-10-07,6485
