age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,owns_ethereum,donated
29,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,FALSE,FALSE
23,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,FALSE,FALSE
79,Private,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,FALSE,TRUE
27,Private,9,Never-married,Other-service,Own-child,White,Male,0,0,40,FALSE,FALSE
40,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,TRUE,TRUE
67,NA,6,Married-civ-spouse,NA,Husband,White,Male,0,0,2,FALSE,TRUE
18,Private,7,Never-married,Other-service,Own-child,White,Female,0,0,22,TRUE,TRUE
31,Local-gov,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,FALSE,FALSE
18,Private,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,TRUE,TRUE
52,Private,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,TRUE,TRUE
46,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,FALSE,TRUE
59,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,FALSE,TRUE
44,Private,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,FALSE,FALSE
53,Private,9,Divorced,Sales,Own-child,White,Female,0,0,35,FALSE,TRUE
49,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,FALSE,FALSE
33,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,TRUE,TRUE
30,Private,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,FALSE,FALSE
43,Federal-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,FALSE,FALSE
57,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,FALSE,TRUE
37,Private,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,FALSE,FALSE
28,Private,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,TRUE,TRUE
30,Private,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,TRUE,FALSE
34,Local-gov,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,FALSE,FALSE
29,Local-gov,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,FALSE,FALSE
48,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,FALSE,FALSE
37,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,FALSE,FALSE
48,Private,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,TRUE,TRUE
32,Federal-gov,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,FALSE,FALSE
76,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,FALSE,FALSE
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,FALSE,FALSE
47,Self-emp-not-inc,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,TRUE,TRUE
20,Private,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,FALSE,FALSE
29,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,FALSE,FALSE
32,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,FALSE,FALSE
17,NA,6,Never-married,NA,Own-child,White,Female,34095,0,32,FALSE,FALSE
30,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,FALSE,FALSE
31,Local-gov,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,FALSE,FALSE
42,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,FALSE,FALSE
24,Private,13,Never-married,Sales,Other-relative,White,Male,0,0,40,TRUE,TRUE
38,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,FALSE,FALSE
56,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,FALSE,FALSE
28,Private,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,TRUE,TRUE
36,Private,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,FALSE,FALSE
53,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,FALSE,FALSE
56,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,FALSE,TRUE
49,Local-gov,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,FALSE,FALSE
55,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,TRUE,FALSE
22,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,FALSE,FALSE
21,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,40,FALSE,FALSE
40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,TRUE,FALSE
30,Private,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,TRUE,TRUE
29,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,FALSE,FALSE
19,Private,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,FALSE,FALSE
47,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,FALSE,FALSE
20,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,TRUE,FALSE
31,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,FALSE,FALSE
35,NA,9,Married-civ-spouse,NA,Husband,White,Male,0,0,40,FALSE,FALSE
39,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,FALSE,FALSE
28,Private,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,TRUE,FALSE
24,Private,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,TRUE,FALSE
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,FALSE,FALSE
37,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,TRUE,TRUE
46,Private,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,TRUE,TRUE
38,Federal-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,FALSE,FALSE
43,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,TRUE,FALSE
27,Private,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,FALSE,FALSE
20,Private,10,Never-married,Sales,Own-child,White,Male,0,0,20,TRUE,TRUE
49,Private,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,FALSE,FALSE
61,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,FALSE,TRUE
27,Private,10,Never-married,Sales,Own-child,White,Female,0,0,40,FALSE,FALSE
19,Private,10,Never-married,Other-service,Own-child,White,Male,0,0,30,TRUE,TRUE
45,Private,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,FALSE,FALSE
70,Private,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,FALSE,TRUE
31,Private,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,FALSE,FALSE
22,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,TRUE,TRUE
36,Private,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,TRUE,TRUE
64,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,TRUE,FALSE
43,NA,10,Divorced,NA,Not-in-family,White,Female,0,0,40,FALSE,FALSE
47,Local-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,FALSE,TRUE
34,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,FALSE,FALSE
33,Private,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,TRUE,TRUE
21,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,FALSE,FALSE
52,NA,9,Divorced,NA,Not-in-family,White,Male,0,0,45,FALSE,FALSE
48,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,FALSE,TRUE
23,Private,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,TRUE,TRUE
71,Self-emp-not-inc,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,TRUE,FALSE
29,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,TRUE,FALSE
42,Private,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,TRUE,TRUE
68,NA,2,Divorced,NA,Not-in-family,White,Female,0,0,20,FALSE,FALSE
25,Private,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,FALSE,FALSE
44,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,TRUE,TRUE
28,Private,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,FALSE,FALSE
45,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,FALSE,FALSE
36,Private,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,FALSE,FALSE
39,Federal-gov,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,TRUE,TRUE
46,State-gov,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,TRUE,TRUE
18,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,TRUE,TRUE
66,Local-gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,FALSE,TRUE
27,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,TRUE,FALSE
28,State-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,FALSE,FALSE
51,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,FALSE,FALSE
27,Private,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,TRUE,TRUE
28,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,FALSE,FALSE
27,Private,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,TRUE,TRUE
21,Private,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,FALSE,FALSE
34,Private,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,FALSE,FALSE
18,Private,9,Never-married,Other-service,Own-child,White,Male,0,0,12,TRUE,TRUE
33,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,TRUE,FALSE
44,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,FALSE,FALSE
43,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,FALSE,FALSE
30,Private,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,FALSE,FALSE
40,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,FALSE,FALSE
37,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,FALSE,FALSE
34,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,FALSE,FALSE
41,Self-emp-not-inc,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,TRUE,TRUE
53,NA,13,Divorced,NA,Not-in-family,White,Female,0,0,50,TRUE,TRUE
31,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,TRUE,TRUE
58,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,FALSE,FALSE
38,Private,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,FALSE,FALSE
24,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,FALSE,FALSE
41,Local-gov,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,TRUE,TRUE
47,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,FALSE,TRUE
41,Federal-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,TRUE,TRUE
23,Private,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,FALSE,FALSE
36,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,FALSE,FALSE
40,Federal-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,FALSE,FALSE
35,Private,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,FALSE,FALSE
24,Self-emp-not-inc,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,FALSE,FALSE
26,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,TRUE,FALSE
19,NA,9,Never-married,NA,Own-child,White,Male,0,0,40,FALSE,FALSE
51,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,FALSE,FALSE
42,Local-gov,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,TRUE,FALSE
37,State-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,FALSE,FALSE
18,Private,7,Never-married,Sales,Own-child,White,Female,0,0,40,FALSE,FALSE
36,Private,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,FALSE,FALSE
35,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,TRUE,FALSE
58,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,FALSE,FALSE
17,Private,7,Never-married,Sales,Own-child,White,Female,0,0,12,TRUE,TRUE
44,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,FALSE,TRUE
37,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,FALSE,FALSE
35,Private,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,FALSE,FALSE
60,Private,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,FALSE,TRUE
54,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,FALSE,FALSE
37,Private,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,FALSE,FALSE
50,Private,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,TRUE,TRUE
38,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,TRUE,TRUE
45,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,TRUE,TRUE
25,Private,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,FALSE,FALSE
31,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,FALSE,FALSE
64,NA,2,Divorced,NA,Not-in-family,White,Male,0,0,40,FALSE,FALSE
90,Private,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,TRUE,FALSE
54,Private,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,FALSE,TRUE
53,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,FALSE,FALSE
18,Private,9,Never-married,Sales,Own-child,White,Female,0,0,40,FALSE,FALSE
60,NA,6,Divorced,NA,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,FALSE,FALSE
66,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,FALSE,TRUE
75,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,FALSE,TRUE
65,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,FALSE,TRUE
35,Private,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,FALSE,FALSE
41,Private,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,FALSE,FALSE
25,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,FALSE,FALSE
33,Private,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,FALSE,FALSE
28,Private,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,FALSE,FALSE
59,State-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,FALSE,TRUE
40,State-gov,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,FALSE,FALSE
41,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,FALSE,FALSE
38,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,FALSE,FALSE
23,Private,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,FALSE,FALSE
40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,FALSE,FALSE
41,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,TRUE,TRUE
24,State-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,TRUE,TRUE
20,NA,10,Never-married,NA,Own-child,White,Male,0,0,20,TRUE,TRUE
38,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,TRUE,FALSE
56,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,FALSE,TRUE
58,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,FALSE,FALSE
32,Private,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,FALSE,FALSE
40,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,FALSE,FALSE
45,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,FALSE,TRUE
41,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,FALSE,FALSE
42,Private,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,TRUE,TRUE
59,Local-gov,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,FALSE,FALSE
19,Local-gov,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,FALSE,FALSE
58,Private,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,FALSE,TRUE
42,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,FALSE,FALSE
20,Private,9,Never-married,Other-service,Own-child,White,Female,0,0,40,FALSE,FALSE
32,Private,9,Separated,Other-service,Not-in-family,White,Female,0,0,30,FALSE,FALSE
45,Private,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,TRUE,TRUE
50,Private,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,FALSE,FALSE
36,Private,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,TRUE,TRUE
45,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,TRUE,FALSE
17,Private,7,Never-married,Other-service,Own-child,White,Male,0,0,12,TRUE,TRUE
59,Private,10,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,FALSE,TRUE
26,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,FALSE,FALSE
37,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,FALSE,FALSE
19,NA,10,Never-married,NA,Own-child,White,Male,0,0,24,TRUE,TRUE
64,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,FALSE,FALSE
33,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,TRUE,TRUE
33,Private,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,FALSE,FALSE
61,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,FALSE,FALSE
17,Private,5,Never-married,Other-service,Own-child,White,Male,1055,0,24,TRUE,TRUE
50,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,TRUE,FALSE
27,Local-gov,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,TRUE,TRUE
30,Private,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,FALSE,FALSE
43,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,FALSE,FALSE
44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,FALSE,FALSE
35,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,FALSE,FALSE
25,Private,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,FALSE,FALSE
24,Private,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7298,0,48,FALSE,FALSE
