Bids,Growth,Start Price,End Price,Times Sold,Platform
6,M,16,23,2,OpenSea
6,M,16,23,2,OpenSea
6,H,15,19,2,Nifty
6,H,14,18,2,Nifty
6,H,13,17,2,Nifty
6,H,14,17,2,Nifty
8,H,14,19,2,Nifty
8,H,14,19,2,Nifty
8,H,9,12,5,Nifty
8,H,11,17,2,Nifty
8,H,11,15,2,Nifty
8,H,12,16,2,Nifty
8,H,9,12,5,Nifty
8,H,13,17,2,Nifty
8,H,13,17,2,Nifty
8,H,12,16,2,Nifty
8,H,9,12,5,Nifty
8,H,11,15,2,Nifty
8,H,11,16,2,Nifty
8,H,13,17,2,Nifty
8,H,11,15,2,Nifty
6,H,14,17,2,Nifty
6,H,14,17,2,Nifty
8,H,13,16,2,Nifty
8,H,13,16,2,Nifty
8,H,13,17,2,Nifty
8,H,11,15,2,Nifty
8,H,13,17,2,Nifty
4,H,15,20,2,Nifty
4,H,16,20,2,Nifty
4,H,17,22,2,Nifty
6,H,15,17,2,Nifty
6,H,15,19,2,Nifty
6,H,15,18,2,Nifty
6,H,16,20,2,Nifty
6,L,18,26,2,Artby
6,L,18,25,2,Artby
6,L,17,26,2,Artby
6,L,16,24,2,Artby
8,L,15,21,2,Artby
8,L,15,22,2,Artby
8,L,15,23,2,Artby
8,L,15,22,2,Artby
8,L,14,20,1,Artby
4,M,28,33,2,Artby
4,M,24,32,2,Artby
4,M,25,32,2,Artby
4,M,23,29,1,Artby
4,M,24,32,2,Artby
4,M,26,34,2,Artby
4,M,25,36,2,Artby
4,M,24,36,4,Artby
4,M,21,29,1,Artby
4,M,19,26,2,Artby
4,M,19,29,2,Artby
4,M,20,28,2,Artby
4,M,20,27,2,Artby
6,M,17,24,2,Artby
6,M,16,24,2,Artby
6,M,17,24,2,Artby
4,H,21,26,2,Artby
4,H,19,26,2,Artby
4,H,19,26,2,Artby
4,H,19,26,2,Artby
4,M,35,44,3,Artby
4,M,29,41,3,Artby
4,M,21,29,2,Artby
4,M,19,26,2,Artby
5,M,20,28,2,Artby
5,M,20,29,2,Artby
8,L,14,20,2,Async-art
8,L,11,15,5,Async-art
8,L,14,20,2,Async-art
8,L,13,17,2,Async-art
8,L,12,17,2,Async-art
8,H,14,19,2,Async-art
8,H,11,14,5,Async-art
8,H,11,15,2,Async-art
8,H,14,17,3,Async-art
6,H,13,17,2,Async-art
8,H,13,17,2,Async-art
8,H,9,12,5,Async-art
8,H,13,17,2,Async-art
8,H,11,16,2,Async-art
8,H,13,18,2,Async-art
8,H,11,15,2,Async-art
8,L,11,17,2,Async-art
8,L,11,17,2,Async-art
8,L,12,18,2,Async-art
6,H,14,17,2,Async-art
6,H,15,19,2,Async-art
6,H,14,17,2,Async-art
6,H,13,19,2,Async-art
8,H,13,19,2,Async-art
8,H,13,17,2,Async-art
6,H,17,22,3,Async-art
6,H,15,19,2,Async-art
6,H,15,20,2,Async-art
8,H,14,17,2,Async-art
8,H,9,12,5,Async-art
8,H,14,19,2,Async-art
8,H,13,18,2,Async-art
8,H,11,14,1,Async-art
8,H,11,15,1,Async-art
8,H,12,18,2,Async-art
8,H,12,18,2,Async-art
8,H,11,15,1,Async-art
8,L,11,17,2,Async-art
8,L,11,16,1,Async-art
8,L,12,18,2,Async-art
6,H,14,17,2,Async-art
6,H,13,19,2,Async-art
8,H,13,19,2,Async-art
8,H,13,17,2,Async-art
6,H,14,17,2,Async-art
6,H,15,17,2,Async-art
6,H,14,20,1,Async-art
8,H,12,18,1,Async-art
4,H,18,25,2,Async-art
4,H,18,24,2,Async-art
4,H,20,27,2,Async-art
4,H,19,25,1,Async-art
4,H,20,26,2,Async-art
4,H,18,23,1,Async-art
4,H,15,20,2,Async-art
4,H,16,20,2,Async-art
6,H,15,19,2,Async-art
6,H,15,17,2,Async-art
6,H,16,20,2,Async-art
8,H,14,17,2,Async-art
8,H,11,15,2,Async-art
8,H,13,18,2,Async-art
